R,G,B
97,74,92
103,78,99
75,65,100
74,62,98
75,63,99
79,67,103
83,71,107
88,74,109
88,69,99
103,80,109
97,73,105
98,77,108
96,75,106
92,73,103
100,83,115
92,75,107
88,73,106
88,74,107
87,76,110
86,75,109
83,73,107
83,73,108
82,75,109
84,77,111
97,87,122
100,90,124
97,90,123
89,82,115
83,76,109
81,74,107
77,72,104
72,67,99
67,62,94
66,61,93
62,59,90
70,67,98
83,80,111
84,81,112
71,70,101
65,65,93
60,60,84
66,67,88
68,69,90
72,73,94
80,78,100
80,78,102
82,80,104
90,88,112
91,87,112
86,82,109
84,78,106
87,81,109
90,84,112
88,81,112
83,76,107
80,73,104
86,77,108
91,82,113
100,91,120
105,96,125
100,91,118
92,84,108
92,82,106
97,87,111
111,102,123
110,100,124
105,93,117
93,80,106
86,73,101
84,71,99
84,69,98
81,66,95
82,69,95
81,69,93
76,66,90
73,65,88
70,65,87
72,67,87
74,71,90
77,74,91
79,77,91
76,72,86
70,64,78
70,62,75
83,72,86
88,74,87
87,71,84
89,71,87
95,72,92
78,66,102
75,63,99
74,62,98
76,64,100
82,70,106
90,74,110
97,76,107
111,88,117
106,82,114
107,83,115
103,82,113
98,79,109
104,87,119
96,79,111
90,75,108
87,73,106
83,72,106
80,70,104
81,71,105
81,74,107
83,76,109
85,78,111
104,94,128
111,101,135
107,100,133
93,86,119
80,73,106
76,69,102
78,73,105
80,75,107
76,71,103
69,64,96
64,61,92
76,73,104
91,88,119
88,85,116
72,71,102
67,67,95
60,61,82
66,67,87
68,69,90
72,73,94
81,79,101
81,79,101
82,80,102
88,86,110
85,81,106
79,75,100
78,72,100
85,79,107
92,86,114
92,86,114
88,82,110
85,79,107
82,73,104
87,77,111
96,87,118
101,92,121
97,88,115
91,83,107
95,85,109
103,93,117
113,104,125
116,107,128
114,102,126
100,88,112
88,75,101
85,72,100
86,71,100
86,72,98
78,66,90
86,74,98
88,78,102
82,72,96
69,61,82
63,58,78
70,67,84
81,79,93
77,75,88
80,76,90
77,74,85
78,72,84
83,75,86
81,71,82
76,64,76
77,63,78
86,67,86
82,68,103
80,66,101
77,63,99
77,63,99
79,65,101
83,67,103
86,62,96
117,92,124
131,105,140
114,90,124
102,81,114
109,88,121
110,91,123
97,80,112
86,71,104
90,76,109
85,74,106
76,67,98
74,65,96
82,75,108
94,87,120
99,92,125
111,101,135
114,105,136
111,104,135
96,89,120
83,76,107
85,78,109
83,78,108
72,67,97
75,70,100
75,70,100
75,72,101
76,73,102
77,74,103
76,73,102
73,73,101
73,73,99
74,72,94
75,73,94
77,75,96
80,78,99
78,76,97
76,74,96
79,75,98
83,79,102
71,65,91
70,64,90
73,67,93
79,73,99
87,78,107
90,81,110
93,84,113
97,88,119
85,75,109
81,71,105
84,75,106
92,83,112
90,80,107
82,72,97
87,77,101
99,90,111
109,97,119
116,104,126
117,103,126
105,91,116
93,79,104
90,76,102
93,79,105
95,81,107
84,72,96
81,69,93
65,55,79
52,42,66
56,48,69
72,64,85
75,71,88
67,63,80
68,64,79
69,65,79
75,72,83
79,73,85
76,70,80
79,71,82
80,72,83
78,66,80
83,66,85
75,61,96
75,61,96
74,60,96
75,61,97
80,66,102
87,70,106
90,66,100
113,88,120
124,98,133
114,90,124
104,83,116
106,87,119
101,84,116
90,75,106
90,76,109
88,77,109
84,75,106
75,68,99
74,67,98
83,78,108
99,94,126
109,104,136
110,103,134
110,101,132
107,100,131
101,94,125
93,86,117
92,85,116
88,83,113
78,73,103
81,76,106
81,76,106
78,75,104
77,74,103
77,74,103
77,74,103
76,76,104
76,76,102
71,69,91
70,68,89
71,69,90
74,72,93
74,72,93
72,70,91
74,70,93
77,73,96
69,63,89
68,62,88
71,65,91
77,71,97
83,74,103
86,77,106
91,82,111
97,88,117
83,74,105
78,68,102
80,71,102
88,79,108
87,77,104
78,68,92
79,70,91
88,79,100
106,94,116
111,99,121
112,98,121
104,90,113
98,84,107
97,83,108
99,85,110
98,84,109
91,79,103
79,69,93
60,50,74
45,37,60
53,45,66
71,63,84
74,70,87
66,62,79
68,64,79
64,60,74
67,63,77
70,67,78
73,67,79
77,71,81
79,71,82
75,64,78
82,67,86
72,56,92
73,57,93
72,56,92
74,58,94
82,66,102
92,72,109
97,73,107
106,80,115
113,87,122
111,87,121
107,86,119
104,85,117
95,78,110
85,70,101
93,79,112
86,75,107
80,71,102
76,69,100
77,72,102
86,83,112
105,102,131
122,119,148
114,107,138
104,95,126
99,92,123
104,97,128
104,97,128
101,94,125
94,89,119
85,80,110
88,83,113
86,81,111
82,79,108
79,76,105
78,75,104
78,75,104
77,77,105
78,78,104
70,68,90
66,64,85
66,63,84
70,67,88
74,70,93
74,70,93
75,70,93
75,70,93
74,68,94
73,67,93
76,67,96
78,69,98
78,69,98
79,70,99
85,76,105
92,83,114
82,71,105
76,65,99
78,67,99
88,77,107
89,79,106
81,71,96
79,67,91
82,70,92
100,87,107
102,89,109
102,89,109
101,87,110
104,89,112
106,91,114
105,90,113
101,87,112
99,89,113
82,74,98
57,49,73
40,35,58
49,44,66
70,65,87
78,73,93
72,68,85
68,64,81
61,57,72
61,57,71
66,62,76
71,65,79
76,70,82
78,72,84
73,65,80
84,71,91
74,58,94
74,58,94
72,56,92
74,58,94
83,66,102
93,73,110
104,80,116
99,75,109
99,75,109
104,83,116
108,87,120
104,85,117
94,79,110
88,75,105
84,73,105
76,67,98
71,64,95
75,70,100
81,78,107
89,89,117
108,108,136
127,124,153
118,111,142
99,90,121
90,83,114
101,94,125
106,99,130
102,95,126
95,90,120
89,84,114
87,82,112
86,81,111
83,80,109
81,78,107
79,76,105
78,75,104
75,75,103
75,75,101
72,70,92
66,64,85
64,61,82
70,66,89
78,74,97
80,76,99
80,75,98
79,73,99
86,80,106
84,78,104
84,75,104
82,73,102
77,68,97
74,65,94
79,70,99
86,77,108
83,72,106
77,66,100
79,68,100
89,78,108
93,83,110
87,77,101
83,71,93
82,70,92
92,79,99
91,78,98
92,79,99
96,83,103
105,90,111
109,94,117
107,92,115
101,87,110
100,92,116
83,79,102
59,55,78
44,39,62
51,46,69
71,66,88
83,78,100
83,78,98
71,67,84
64,60,77
65,61,76
69,65,79
71,65,79
74,68,82
78,72,86
77,68,85
87,75,99
81,64,98
80,63,97
77,60,96
77,60,96
83,66,102
91,71,108
105,83,119
95,71,107
91,67,103
98,76,112
105,83,119
103,83,118
97,82,115
96,82,115
75,66,95
67,61,89
65,61,88
73,70,97
83,83,109
95,97,122
108,110,135
120,120,146
118,112,140
94,85,114
82,76,104
94,88,116
100,94,122
97,91,119
92,88,115
88,84,111
83,79,106
83,79,106
82,79,106
82,79,106
80,77,104
78,75,102
73,73,99
72,72,98
74,72,94
67,63,86
64,60,83
70,66,91
79,75,100
83,79,104
83,77,103
82,76,104
94,85,114
91,82,111
88,79,110
85,76,107
82,71,103
79,68,100
82,71,103
88,77,111
87,76,110
81,70,104
80,69,101
87,76,106
93,80,108
88,75,101
80,68,92
77,65,87
84,71,91
82,69,87
84,69,88
92,77,98
100,85,106
103,88,109
102,87,108
97,85,107
90,85,108
80,78,102
65,63,87
52,48,73
53,49,74
68,64,87
84,79,101
90,85,107
72,64,85
68,61,79
73,66,84
78,71,87
74,67,83
73,66,82
78,71,87
81,74,92
86,76,101
85,68,102
83,66,100
81,64,100
81,64,100
84,67,103
90,70,107
102,80,116
93,69,105
87,65,101
94,72,108
100,80,115
99,82,116
97,83,116
97,86,118
73,67,95
68,64,91
64,61,88
69,69,95
85,87,112
100,104,129
106,110,135
107,109,134
107,103,130
88,79,108
79,73,101
87,81,109
92,86,114
91,85,113
88,84,111
84,80,107
81,77,104
82,78,105
82,79,106
82,79,106
81,78,105
80,77,104
76,76,102
75,75,101
77,75,99
71,67,90
67,63,88
72,68,93
79,75,100
82,78,103
82,76,104
81,75,103
90,81,110
86,77,106
83,74,105
84,75,106
86,75,107
86,75,107
89,78,112
93,82,116
89,77,113
82,71,105
79,68,100
81,70,100
83,70,98
79,67,91
72,60,82
69,57,77
80,67,85
79,66,84
82,67,86
88,73,92
92,77,96
92,77,98
93,78,99
93,81,103
79,75,100
75,75,101
69,69,95
62,60,84
59,57,81
68,64,89
80,75,98
86,81,103
66,58,81
62,54,75
69,62,80
78,71,89
76,69,85
74,67,83
77,70,86
79,71,92
84,73,103
81,64,98
82,65,99
86,66,101
88,68,103
90,70,107
91,71,108
94,72,110
93,68,107
90,68,104
94,72,108
96,76,111
95,78,112
93,79,112
92,81,113
84,78,106
79,75,102
68,68,94
67,69,94
84,88,113
106,112,136
106,112,134
94,99,121
90,86,113
82,73,102
79,73,101
85,79,107
87,81,109
87,81,109
85,81,108
80,76,103
86,82,109
85,81,108
82,79,106
81,78,105
82,79,106
84,81,108
85,85,111
88,85,112
89,85,110
82,78,103
76,72,99
78,74,101
82,76,104
82,76,104
81,74,105
81,74,105
84,75,106
79,70,101
76,66,100
81,71,105
87,76,110
89,78,112
90,79,113
91,80,114
85,73,109
