R,G,B
154,122,109
152,122,111
152,122,111
152,122,111
153,123,112
154,124,113
155,125,114
156,126,115
151,121,110
151,121,110
152,122,111
153,123,112
155,125,114
157,127,116
159,129,118
162,130,119
156,122,113
156,122,113
156,122,113
156,122,113
156,122,112
156,122,112
156,122,112
156,122,112
154,120,110
153,119,109
153,119,107
154,120,108
157,123,111
158,124,112
157,123,111
155,121,109
160,128,115
160,128,115
159,127,114
159,127,114
159,127,116
159,127,116
159,126,117
159,126,117
156,123,116
157,124,117
157,124,119
157,124,119
156,122,120
153,119,117
151,117,115
149,116,111
143,106,100
144,107,101
146,109,103
148,111,105
151,114,106
154,117,109
156,119,110
158,121,112
165,129,117
165,129,117
163,127,113
160,124,110
157,121,107
156,120,106
158,122,106
160,124,108
156,122,110
157,123,111
158,124,112
159,125,113
158,126,113
157,125,112
156,124,111
155,123,110
156,127,113
155,126,112
155,126,112
155,126,112
155,127,113
154,126,112
151,123,109
150,120,109
155,120,114
155,117,114
153,115,112
153,115,112
153,118,112
155,120,114
154,121,114
154,121,114
151,121,111
150,120,110
148,120,108
150,122,110
151,125,112
152,126,113
150,124,111
148,120,106
159,128,110
160,127,108
160,127,108
160,127,108
161,128,111
160,127,110
158,125,110
157,124,109
155,121,109
157,123,111
161,127,117
165,131,121
167,133,124
167,133,124
166,132,123
164,131,122
157,127,116
155,125,114
155,123,112
154,120,110
157,121,109
162,122,112
167,125,113
170,126,115
175,129,116
174,128,115
174,126,112
174,126,112
173,127,111
172,126,110
168,122,106
163,120,103
171,129,113
173,131,115
173,131,115
171,129,113
168,126,110
166,124,108
166,124,108
166,124,108
163,121,105
162,120,104
163,121,105
166,124,108
169,127,111
169,127,111
166,124,108
161,122,105
156,119,101
158,121,103
162,125,107
165,128,110
167,130,114
166,129,113
165,128,112
164,127,111
163,125,112
167,129,116
172,134,121
173,135,122
171,133,122
168,130,119
165,127,116
164,126,115
166,128,115
164,126,113
163,125,112
163,125,112
166,128,115
169,131,118
171,133,120
171,133,120
170,132,119
149,112,104
155,118,110
157,120,112
158,124,115
160,126,117
159,126,117
158,125,116
155,122,113
153,120,111
154,120,111
154,120,111
155,121,112
158,124,114
161,127,117
162,128,118
161,127,115
159,125,113
153,120,105
153,120,105
154,121,106
155,122,105
156,123,106
156,123,106
156,123,106
156,123,106
153,121,108
153,121,110
153,121,110
154,122,111
155,123,112
156,124,113
158,126,115
156,126,115
149,119,108
149,119,108
150,120,109
151,121,110
153,123,112
155,125,114
157,127,116
159,129,118
157,124,115
157,124,115
157,123,114
155,122,113
156,122,112
154,122,111
154,122,111
153,121,110
155,123,112
151,119,108
147,115,102
149,117,104
154,122,109
157,125,112
156,124,111
153,121,108
158,126,115
155,125,114
155,123,112
154,122,111
154,122,111
157,125,114
160,127,118
162,129,120
159,126,117
158,125,116
155,122,115
152,119,112
149,116,109
146,113,106
145,112,105
145,110,104
149,112,106
149,112,106
149,112,106
150,113,105
151,114,106
154,117,108
157,120,111
159,123,111
164,128,116
164,128,114
162,126,112
160,124,108
158,122,106
158,122,106
160,125,106
163,127,111
155,122,107
156,124,109
158,124,112
159,127,114
158,126,113
156,124,111
154,122,109
152,120,109
156,126,115
156,126,115
157,127,116
159,130,116
160,132,118
158,130,116
155,127,113
153,123,112
159,124,118
158,121,115
155,117,114
155,118,112
154,119,113
155,120,114
155,122,115
154,121,114
155,122,113
150,120,110
149,119,108
150,120,109
151,123,111
151,123,111
148,120,108
146,117,103
159,127,112
158,125,108
157,124,107
158,125,108
159,126,111
159,126,111
157,124,109
154,120,108
153,119,107
156,122,110
160,126,116
164,130,120
166,132,123
167,133,124
165,131,122
164,130,121
155,123,112
152,122,111
154,122,111
155,121,111
158,121,112
162,124,115
166,126,116
170,127,118
170,128,116
171,127,116
171,127,114
173,129,116
174,131,115
173,130,114
169,126,110
165,124,106
173,131,115
171,132,115
173,131,115
168,129,112
168,126,110
164,125,108
167,125,109
167,128,111
164,122,106
161,122,105
164,122,106
166,127,110
172,130,114
170,131,114
169,127,111
164,125,108
157,120,102
160,123,105
163,126,110
167,130,114
168,131,115
167,130,114
166,129,113
164,127,111
165,127,114
167,129,116
169,131,118
169,131,118
167,129,118
165,127,116
165,127,116
166,128,117
169,131,118
165,128,112
162,124,111
163,126,110
168,130,117
172,135,119
173,135,122
171,135,119
172,134,121
146,112,103
148,114,105
151,117,108
155,121,112
158,124,115
158,124,115
157,123,114
154,120,111
152,118,109
156,119,110
157,120,111
156,119,110
154,118,106
154,118,106
158,122,110
166,130,118
172,136,124
162,126,114
160,124,112
157,121,109
156,120,106
156,120,106
156,120,106
155,119,105
153,117,103
159,123,111
158,122,110
158,122,110
159,123,111
157,123,111
156,122,110
153,119,107
149,117,104
146,114,101
148,116,103
150,121,107
155,126,112
156,128,114
155,127,113
150,122,108
147,118,104
149,119,108
147,117,106
148,116,105
147,117,106
152,120,109
154,124,113
157,127,116
159,129,118
153,123,112
153,123,112
152,124,112
152,124,112
152,124,112
151,123,111
149,123,110
149,121,109
154,126,115
155,127,116
156,126,116
154,124,114
151,121,111
152,122,112
157,127,116
161,131,120
155,123,112
154,122,111
154,122,109
152,120,107
151,117,105
148,114,102
145,111,99
144,110,100
151,114,106
153,116,110
155,118,110
158,121,113
160,123,115
161,124,115
161,125,113
161,125,111
167,131,117
165,129,113
161,126,107
158,123,104
157,122,102
158,123,103
161,126,104
161,129,108
157,126,106
155,126,108
157,125,110
155,126,112
156,127,113
157,127,116
158,128,117
158,128,118
156,126,116
157,127,117
157,127,117
157,127,116
156,126,115
155,125,114
156,127,113
157,127,116
163,129,120
162,128,119
160,125,119
159,125,116
159,125,116
159,125,116
160,126,117
160,126,117
151,117,108
151,118,109
153,120,111
155,122,113
157,124,115
158,125,116
159,126,117
159,127,116
162,128,116
162,126,114
161,125,113
162,126,114
164,128,116
164,128,116
161,125,113
158,121,112
156,119,110
161,124,115
165,128,119
164,127,118
161,124,115
159,122,113
161,124,115
165,128,119
158,124,114
159,125,115
160,126,117
160,123,115
159,122,114
161,124,116
168,129,122
173,134,127
173,134,127
173,135,126
173,135,124
173,135,124
172,134,121
170,133,117
169,132,116
168,131,113
173,136,117
173,136,117
173,135,116
171,134,115
170,132,113
168,131,112
168,129,112
167,130,112
167,128,111
169,132,114
172,133,118
170,133,117
167,128,113
164,127,111
166,127,112
166,129,113
160,123,107
161,124,108
163,125,112
164,126,113
165,127,114
164,126,113
163,125,112
162,124,111
168,130,119
168,130,119
166,128,117
165,127,116
165,127,118
165,127,118
165,127,118
166,128,117
165,126,111
168,129,112
170,131,116
168,131,113
166,129,113
164,129,110
167,131,115
167,134,115
165,129,113
151,117,108
149,115,106
152,118,109
155,121,112
158,124,115
158,124,115
156,122,113
153,119,110
151,117,107
152,115,106
153,117,105
153,117,105
153,117,105
153,117,105
157,121,109
163,127,115
169,133,121
162,126,114
160,124,112
157,121,109
155,119,107
155,119,107
155,119,107
153,117,105
151,115,103
156,118,107
157,119,108
158,120,109
159,121,110
158,122,110
157,121,109
154,120,108
153,119,107
147,115,102
148,116,103
149,120,106
153,124,110
157,128,114
156,128,114
153,125,111
150,122,108
149,119,108
148,118,107
148,118,107
149,119,108
152,122,111
154,124,113
155,127,115
156,128,116
152,124,112
152,124,112
152,126,113
152,126,113
151,125,112
150,124,111
147,124,110
149,123,110
153,124,116
155,126,118
156,127,119
154,125,117
151,121,111
150,120,110
151,121,110
153,123,112
157,125,112
158,126,113
158,126,111
157,125,110
155,122,107
150,117,102
145,112,95
141,108,93
153,116,107
155,118,110
158,121,113
161,124,115
163,126,117
163,127,115
163,127,113
162,126,112
158,122,106
158,122,106
159,124,105
160,125,105
162,127,107
163,128,106
164,129,107
163,131,108
157,126,105
154,126,105
153,124,108
152,123,107
154,124,113
157,127,116
160,130,120
163,133,123
158,128,120
158,128,120
157,127,117
156,126,116
154,124,113
154,124,113
155,126,112
157,125,112
155,121,112
155,121,112
156,122,113
157,123,114
157,123,114
156,122,113
154,120,111
154,120,111
152,118,109
152,118,109
153,119,110
154,120,111
156,122,113
157,123,114
158,124,115
159,125,116
158,121,112
159,122,113
161,124,115
165,128,119
168,131,122
167,130,121
162,125,116
158,121,112
152,115,106
158,121,112
164,127,118
165,128,119
161,124,115
158,121,112
158,121,112
160,123,114
159,122,113
161,124,115
164,127,119
164,127,119
163,126,120
164,127,121
166,129,123
169,132,126
173,136,130
171,134,126
169,132,124
167,131,119
166,130,118
165,129,115
164,128,112
164,129,110
173,136,117
173,137,115
172,135,116
172,135,116
171,134,115
170,133,114
170,133,115
169,132,114
167,130,112
169,132,114
170,133,117
169,132,116
166,129,113
163,126,110
163,126,110
165,128,112
163,125,112
164,126,113
166,128,115
166,128,115
166,128,115
165,127,114
164,126,113
163,125,112
167,129,118
167,129,118
166,128,117
166,128,117
165,127,118
165,127,118
165,127,118
165,127,116
167,125,111
170,128,112
170,131,114
169,132,114
166,129,111
164,129,110
164,131,112
165,132,113
162,129,110
155,121,112
149,115,106
152,118,109
155,121,112
157,123,114
157,123,114
155,121,112
153,119,110
151,117,107
150,113,104
152,116,104
153,117,105
153,117,105
154,118,106
157,121,109
162,126,114
165,129,117
163,127,115
160,124,112
157,121,109
156,120,108
156,120,108
155,119,107
154,118,106
152,116,104
156,118,107
158,120,109
161,123,112
159,121,110
155,119,107
152,116,104
151,117,105
153,119,107
148,116,103
149,117,104
151,119,106
153,124,110
156,127,113
157,128,114
155,126,112
153,124,110
151,119,108
152,120,109
153,121,110
154,122,111
152,122,111
153,123,112
153,123,112
153,123,112
152,124,112
152,124,112
152,126,113
152,126,113
151,125,112
151,125,112
150,124,111
149,123,110
150,121,113
153,124,116
155,126,118
155,126,118
153,123,113
151,121,111
151,121,110
151,121,110
156,124,111
158,126,113
161,128,113
161,128,113
159,126,111
154,121,106
149,116,99
145,112,97
154,117,108
156,119,110
160,123,114
163,126,117
165,128,119
164,128,116
162,126,112
161,125,111
153,117,101
156,120,104
160,125,106
164,129,109
166,131,111
166,131,111
164,129,109
161,129,108
158,127,107
156,125,105
153,121,106
152,120,105
154,122,111
159,127,116
164,131,122
168,135,126
161,128,121
159,126,119
156,123,114
154,121,112
153,121,110
153,121,110
154,122,109
155,123,110
150,116,107
152,118,109
155,121,112
157,123,114
157,123,114
155,121,112
152,118,109
151,117,108
153,119,110
152,118,109
151,117,108
151,117,108
152,118,109
154,120,111
157,123,114
159,125,116
155,118,109
158,121,112
163,126,117
167,130,121
169,132,123
165,128,119
158,121,112
152,115,106
147,110,101
153,116,107
160,123,114
163,126,117
161,124,115
157,120,111
156,119,110
157,120,111
159,122,113
163,126,117
166,129,120
168,131,123
168,131,125
167,130,124
167,130,124
167,130,124
175,138,132
172,135,127
167,130,122
163,127,115
161,125,113
162,126,112
164,128,112
165,130,111
172,135,116
172,135,116
172,135,116
172,135,116
172,135,116
172,135,116
172,135,117
172,135,117
167,130,112
168,131,113
169,132,116
168,131,115
165,127,114
163,125,112
162,124,111
162,124,111
165,127,114
166,128,115
168,130,117
168,130,117
168,130,117
167,129,116
166,128,115
165,127,114
166,128,117
166,128,117
166,128,117
167,129,118
166,128,117
165,127,116
165,127,116
164,126,113
167,125,111
170,128,112
170,131,114
169,132,114
167,130,112
165,130,111
162,129,110
163,130,111
159,126,107
154,120,111
147,113,104
149,115,106
153,119,110
155,121,112
157,123,114
156,122,113
155,121,112
154,120,110
154,117,108
155,119,107
156,120,108
157,121,109
158,122,110
159,123,111
161,125,113
162,126,114
162,126,114
160,124,112
157,121,109
157,121,109
158,122,110
158,122,110
157,121,109
156,120,108
159,121,110
162,124,113
164,126,115
160,122,111
152,116,104
147,111,99
146,112,100
149,115,103
153,119,107
153,121,108
155,123,110
157,125,112
